time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/05 16:54:05.153636460,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.252645377,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.355310210,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.455818169,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.554479752,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.654208502,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.755041544,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.856361127,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:05.963080544,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:06.56083002,0,30.0,30.0,30.0,30.0
2025/08/05 16:54:06.156568836,0,30.0,30.0,20.0,20.0
2025/08/05 16:54:06.265110211,0,30.0,30.0,10.0,10.0
2025/08/05 16:54:06.356553544,0,30.0,30.0,0.0,0.0
2025/08/05 16:54:06.458740627,0,30.0,30.0,-10.0,-10.0
2025/08/05 16:54:06.557058919,0,30.0,30.0,-20.0,-20.0
2025/08/05 16:54:06.662933377,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:06.756548294,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:06.856961169,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:06.959113586,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.56745253,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.156115586,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.255641711,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.355588336,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.457270961,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.554002295,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.654239128,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.755869795,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.857195461,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:07.956361753,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.56475378,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.157668045,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.257945628,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.360899837,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:54:08.459258212,0,30.0,30.0,-30.0,-30.0
